Title,"Academic staff (excluding atypical) by age group, disability status, ethnicity, nationality, sex, contract level and country of HE provider",,,,
Age Group,26-35,Scotland,Other senior academic,2018/19,0
Age Group,26-35,Scotland,Other contract level,2018/19,6850
Age Group,26-35,Scotland,Total,2018/19,6855
Age Group,26-35,Wales,Professor,2018/19,5
Age Group,26-35,Wales,Other senior academic,2018/19,10
Age Group,26-35,Wales,Other contract level,2018/19,2350
Age Group,26-35,Wales,Total,2018/19,2365
Age Group,26-35,England,Professor,2019/20,110
Age Group,26-35,England,Other senior academic,2019/20,90
Age Group,26-35,England,Other contract level,2019/20,47240
Age Group,26-35,England,Total,2019/20,47440
Age Group,26-35,Northern Ireland,Professor,2019/20,0
Age Group,26-35,Northern Ireland,Other senior academic,2019/20,0
Age Group,26-35,Northern Ireland,Other contract level,2019/20,840
Age Group,26-35,Northern Ireland,Total,2019/20,840
Age Group,26-35,Scotland,Professor,2019/20,5
Age Group,26-35,Scotland,Other senior academic,2019/20,0
Age Group,26-35,Scotland,Other contract level,2019/20,6975
Age Group,26-35,Scotland,Total,2019/20,6980
Age Group,26-35,Wales,Professor,2019/20,5
Age Group,26-35,Wales,Other senior academic,2019/20,5
Age Group,26-35,Wales,Other contract level,2019/20,2215
Age Group,26-35,Wales,Total,2019/20,2220
Age Group,26-35,England,Professor,2020/21,85
Age Group,26-35,England,Other senior academic,2020/21,85
Age Group,26-35,England,Other contract level,2020/21,46530
Age Group,26-35,England,Total,2020/21,46705
Age Group,26-35,Northern Ireland,Professor,2020/21,0
Age Group,26-35,Northern Ireland,Other senior academic,2020/21,5
Age Group,26-35,Northern Ireland,Other contract level,2020/21,825
Age Group,26-35,Northern Ireland,Total,2020/21,830
Age Group,26-35,Scotland,Professor,2020/21,5
Age Group,26-35,Scotland,Other senior academic,2020/21,0
Age Group,26-35,Scotland,Other contract level,2020/21,7220
Age Group,26-35,Scotland,Total,2020/21,7225
Age Group,26-35,Wales,Professor,2020/21,5
Age Group,26-35,Wales,Other senior academic,2020/21,5
Age Group,26-35,Wales,Other contract level,2020/21,2155
Age Group,26-35,Wales,Total,2020/21,2170
Age Group,26-35,All,Professor,2016/17,120
Age Group,26-35,All,Other senior academic,2016/17,85
Age Group,26-35,All,Other contract level,2016/17,54205
Age Group,26-35,All,Total,2016/17,54410
Age Group,26-35,All,Professor,2017/18,95
Age Group,26-35,All,Other senior academic,2017/18,85
Age Group,26-35,All,Other contract level,2017/18,55275
Age Group,26-35,All,Total,2017/18,55455
Age Group,26-35,All,Professor,2018/19,125
Age Group,26-35,All,Other senior academic,2018/19,85
Age Group,26-35,All,Other contract level,2018/19,56175
Age Group,26-35,All,Total,2018/19,56385
Age Group,26-35,All,Professor,2019/20,115
Age Group,26-35,All,Other senior academic,2019/20,100
Age Group,26-35,All,Other contract level,2019/20,57270
Age Group,26-35,All,Total,2019/20,57485
Age Group,26-35,All,Professor,2020/21,100
Age Group,26-35,All,Other senior academic,2020/21,95
Age Group,26-35,All,Other contract level,2020/21,56730
Age Group,26-35,All,Total,2020/21,56925
Age Group,36-45,England,Professor,2016/17,2495
Age Group,36-45,England,Other senior academic,2016/17,775
Age Group,36-45,England,Other contract level,2016/17,43915
Age Group,36-45,England,Total,2016/17,47185
Age Group,36-45,Northern Ireland,Professor,2016/17,40
Age Group,36-45,Northern Ireland,Other senior academic,2016/17,50
Age Group,36-45,Northern Ireland,Other contract level,2016/17,870
Age Group,36-45,Northern Ireland,Total,2016/17,960
Age Group,36-45,Scotland,Professor,2016/17,325
Age Group,36-45,Scotland,Other senior academic,2016/17,80
Age Group,36-45,Scotland,Other contract level,2016/17,5230
Age Group,36-45,Scotland,Total,2016/17,5640
Age Group,36-45,Wales,Professor,2016/17,180
Age Group,36-45,Wales,Other senior academic,2016/17,60
Age Group,36-45,Wales,Other contract level,2016/17,2575
Age Group,36-45,Wales,Total,2016/17,2815
Age Group,36-45,England,Professor,2017/18,2505
Age Group,36-45,England,Other senior academic,2017/18,810
Age Group,36-45,England,Other contract level,2017/18,44670
Age Group,36-45,England,Total,2017/18,47990
Age Group,36-45,Northern Ireland,Professor,2017/18,40
Age Group,36-45,Northern Ireland,Other senior academic,2017/18,30
Age Group,36-45,Northern Ireland,Other contract level,2017/18,905
Age Group,36-45,Northern Ireland,Total,2017/18,975
Age Group,36-45,Scotland,Professor,2017/18,330
Age Group,36-45,Scotland,Other senior academic,2017/18,80
Age Group,36-45,Scotland,Other contract level,2017/18,5645
Age Group,36-45,Scotland,Total,2017/18,6055
Age Group,36-45,Wales,Professor,2017/18,170
Age Group,36-45,Wales,Other senior academic,2017/18,50
Age Group,36-45,Wales,Other contract level,2017/18,2675
Age Group,36-45,Wales,Total,2017/18,2895
Age Group,36-45,England,Professor,2018/19,2520
Age Group,36-45,England,Other senior academic,2018/19,775
Age Group,36-45,England,Other contract level,2018/19,46430
Age Group,36-45,England,Total,2018/19,49725
Age Group,36-45,Northern Ireland,Professor,2018/19,40
Age Group,36-45,Northern Ireland,Other senior academic,2018/19,45
Age Group,36-45,Northern Ireland,Other contract level,2018/19,940
Age Group,36-45,Northern Ireland,Total,2018/19,1025
Age Group,36-45,Scotland,Professor,2018/19,320
Age Group,36-45,Scotland,Other senior academic,2018/19,75
Age Group,36-45,Scotland,Other contract level,2018/19,5860
Age Group,36-45,Scotland,Total,2018/19,6255
Age Group,36-45,Wales,Professor,2018/19,115
Age Group,36-45,Wales,Other senior academic,2018/19,60
Age Group,36-45,Wales,Other contract level,2018/19,2705
Age Group,36-45,Wales,Total,2018/19,2880
Age Group,36-45,England,Professor,2019/20,2685
Age Group,36-45,England,Other senior academic,2019/20,860
Age Group,36-45,England,Other contract level,2019/20,48215
Age Group,36-45,England,Total,2019/20,51765
Age Group,36-45,Northern Ireland,Professor,2019/20,40
Age Group,36-45,Northern Ireland,Other senior academic,2019/20,30
Age Group,36-45,Northern Ireland,Other contract level,2019/20,980
Age Group,36-45,Northern Ireland,Total,2019/20,1050
Age Group,36-45,Scotland,Professor,2019/20,345
Age Group,36-45,Scotland,Other senior academic,2019/20,70
Age Group,36-45,Scotland,Other contract level,2019/20,6070
Age Group,36-45,Scotland,Total,2019/20,6485
Age Group,36-45,Wales,Professor,2019/20,120
Age Group,36-45,Wales,Other senior academic,2019/20,55
Age Group,36-45,Wales,Other contract level,2019/20,2750
Age Group,36-45,Wales,Total,2019/20,2925
Age Group,36-45,England,Professor,2020/21,2620
Age Group,36-45,England,Other senior academic,2020/21,880
Age Group,36-45,England,Other contract level,2020/21,49710
Age Group,36-45,England,Total,2020/21,53210
Age Group,36-45,Northern Ireland,Professor,2020/21,45
Age Group,36-45,Northern Ireland,Other senior academic,2020/21,50
Age Group,36-45,Northern Ireland,Other contract level,2020/21,970
Age Group,36-45,Northern Ireland,Total,2020/21,1065
Age Group,36-45,Scotland,Professor,2020/21,345
Age Group,36-45,Scotland,Other senior academic,2020/21,80
Age Group,36-45,Scotland,Other contract level,2020/21,6330
Age Group,36-45,Scotland,Total,2020/21,6755
Age Group,36-45,Wales,Professor,2020/21,115
Age Group,36-45,Wales,Other senior academic,2020/21,45
Age Group,36-45,Wales,Other contract level,2020/21,2775
Age Group,36-45,Wales,Total,2020/21,2930
Age Group,36-45,All,Professor,2016/17,3040
Age Group,36-45,All,Other senior academic,2016/17,965
Age Group,36-45,All,Other contract level,2016/17,52590
Age Group,36-45,All,Total,2016/17,56600
Age Group,36-45,All,Professor,2017/18,3050
Age Group,36-45,All,Other senior academic,2017/18,965
Age Group,36-45,All,Other contract level,2017/18,53895
Age Group,36-45,All,Total,2017/18,57910
Age Group,36-45,All,Professor,2018/19,2995
Age Group,36-45,All,Other senior academic,2018/19,955
Age Group,36-45,All,Other contract level,2018/19,55930
Age Group,36-45,All,Total,2018/19,59885
Age Group,36-45,All,Professor,2019/20,3190
Age Group,36-45,All,Other senior academic,2019/20,1015
Age Group,36-45,All,Other contract level,2019/20,58015
Age Group,36-45,All,Total,2019/20,62220
Age Group,36-45,All,Professor,2020/21,3125
Age Group,36-45,All,Other senior academic,2020/21,1050
Age Group,36-45,All,Other contract level,2020/21,59785
Age Group,36-45,All,Total,2020/21,63955
Age Group,46-55,England,Professor,2016/17,6720
Age Group,46-55,England,Other senior academic,2016/17,2325
Age Group,46-55,England,Other contract level,2016/17,34255
Age Group,46-55,England,Total,2016/17,43300
Age Group,46-55,Northern Ireland,Professor,2016/17,115
Age Group,46-55,Northern Ireland,Other senior academic,2016/17,80
Age Group,46-55,Northern Ireland,Other contract level,2016/17,645
Age Group,46-55,Northern Ireland,Total,2016/17,840
Age Group,46-55,Scotland,Professor,2016/17,965
Age Group,46-55,Scotland,Other senior academic,2016/17,245
Age Group,46-55,Scotland,Other contract level,2016/17,3775
Age Group,46-55,Scotland,Total,2016/17,4985
Age Group,46-55,Wales,Professor,2016/17,475
Age Group,46-55,Wales,Other senior academic,2016/17,180
Age Group,46-55,Wales,Other contract level,2016/17,2235
Age Group,46-55,Wales,Total,2016/17,2885
Age Group,46-55,England,Professor,2017/18,6770
Age Group,46-55,England,Other senior academic,2017/18,2380
Age Group,46-55,England,Other contract level,2017/18,34450
Age Group,46-55,England,Total,2017/18,43595
Age Group,46-55,Northern Ireland,Professor,2017/18,140
Age Group,46-55,Northern Ireland,Other senior academic,2017/18,75
Age Group,46-55,Northern Ireland,Other contract level,2017/18,680
Age Group,46-55,Northern Ireland,Total,2017/18,895
Age Group,46-55,Scotland,Professor,2017/18,980
Age Group,46-55,Scotland,Other senior academic,2017/18,240
Age Group,46-55,Scotland,Other contract level,2017/18,4010
Age Group,46-55,Scotland,Total,2017/18,5230
Age Group,46-55,Wales,Professor,2017/18,470
Age Group,46-55,Wales,Other senior academic,2017/18,165
Age Group,46-55,Wales,Other contract level,2017/18,2225
Age Group,46-55,Wales,Total,2017/18,2860
Age Group,46-55,England,Professor,2018/19,6955
Age Group,46-55,England,Other senior academic,2018/19,2320
Age Group,46-55,England,Other contract level,2018/19,34905
Age Group,46-55,England,Total,2018/19,44185
Age Group,46-55,Northern Ireland,Professor,2018/19,145
Age Group,46-55,Northern Ireland,Other senior academic,2018/19,90
Age Group,46-55,Northern Ireland,Other contract level,2018/19,690
Age Group,46-55,Northern Ireland,Total,2018/19,925
Age Group,46-55,Scotland,Professor,2018/19,1000
Age Group,46-55,Scotland,Other senior academic,2018/19,220
Age Group,46-55,Scotland,Other contract level,2018/19,4030
Age Group,46-55,Scotland,Total,2018/19,5250
Age Group,46-55,Wales,Professor,2018/19,390
Age Group,46-55,Wales,Other senior academic,2018/19,180
Age Group,46-55,Wales,Other contract level,2018/19,2205
Age Group,46-55,Wales,Total,2018/19,2775
Age Group,46-55,England,Professor,2019/20,7330
Age Group,46-55,England,Other senior academic,2019/20,2265
Age Group,46-55,England,Other contract level,2019/20,35590
Age Group,46-55,England,Total,2019/20,45185
Age Group,46-55,Northern Ireland,Professor,2019/20,170
Age Group,46-55,Northern Ireland,Other senior academic,2019/20,85
Age Group,46-55,Northern Ireland,Other contract level,2019/20,730
Age Group,46-55,Northern Ireland,Total,2019/20,985
Age Group,46-55,Scotland,Professor,2019/20,1075
Age Group,46-55,Scotland,Other senior academic,2019/20,200
Age Group,46-55,Scotland,Other contract level,2019/20,3990
Age Group,46-55,Scotland,Total,2019/20,5265
Age Group,46-55,Wales,Professor,2019/20,420
Age Group,46-55,Wales,Other senior academic,2019/20,135
Age Group,46-55,Wales,Other contract level,2019/20,2185
Age Group,46-55,Wales,Total,2019/20,2745
Age Group,46-55,England,Professor,2020/21,7235
Age Group,46-55,England,Other senior academic,2020/21,2245
Age Group,46-55,England,Other contract level,2020/21,35545
Age Group,46-55,England,Total,2020/21,45025
Age Group,46-55,Northern Ireland,Professor,2020/21,155
Age Group,46-55,Northern Ireland,Other senior academic,2020/21,95
Age Group,46-55,Northern Ireland,Other contract level,2020/21,760
Age Group,46-55,Northern Ireland,Total,2020/21,1010
Age Group,46-55,Scotland,Professor,2020/21,1090
Age Group,46-55,Scotland,Other senior academic,2020/21,210
Age Group,46-55,Scotland,Other contract level,2020/21,4020
Age Group,46-55,Scotland,Total,2020/21,5320
Age Group,46-55,Wales,Professor,2020/21,400
Age Group,46-55,Wales,Other senior academic,2020/21,125
Age Group,46-55,Wales,Other contract level,2020/21,2180
Age Group,46-55,Wales,Total,2020/21,2700
Age Group,46-55,All,Professor,2016/17,8275
Age Group,46-55,All,Other senior academic,2016/17,2830
Age Group,46-55,All,Other contract level,2016/17,40910
Age Group,46-55,All,Total,2016/17,52015
Age Group,46-55,All,Professor,2017/18,8360
Age Group,46-55,All,Other senior academic,2017/18,2855
Age Group,46-55,All,Other contract level,2017/18,41365
Age Group,46-55,All,Total,2017/18,52580
Age Group,46-55,All,Professor,2018/19,8495
Age Group,46-55,All,Other senior academic,2018/19,2810
Age Group,46-55,All,Other contract level,2018/19,41830
Age Group,46-55,All,Total,2018/19,53135
Age Group,46-55,All,Professor,2019/20,8995
Age Group,46-55,All,Other senior academic,2019/20,2690
Age Group,46-55,All,Other contract level,2019/20,42495
Age Group,46-55,All,Total,2019/20,54180
Age Group,46-55,All,Professor,2020/21,8880
Age Group,46-55,All,Other senior academic,2020/21,2675
Age Group,46-55,All,Other contract level,2020/21,42505
Age Group,46-55,All,Total,2020/21,54055
Age Group,56-65,England,Professor,2016/17,5775
Age Group,56-65,England,Other senior academic,2016/17,1655
Age Group,56-65,England,Other contract level,2016/17,19190
Age Group,56-65,England,Total,2016/17,26620
Age Group,56-65,Northern Ireland,Professor,2016/17,105
Age Group,56-65,Northern Ireland,Other senior academic,2016/17,35
Age Group,56-65,Northern Ireland,Other contract level,2016/17,290
Age Group,56-65,Northern Ireland,Total,2016/17,430
Age Group,56-65,Scotland,Professor,2016/17,810
Age Group,56-65,Scotland,Other senior academic,2016/17,185
Age Group,56-65,Scotland,Other contract level,2016/17,1805
Age Group,56-65,Scotland,Total,2016/17,2800
Age Group,56-65,Wales,Professor,2016/17,350
Age Group,56-65,Wales,Other senior academic,2016/17,105
Age Group,56-65,Wales,Other contract level,2016/17,1205
Age Group,56-65,Wales,Total,2016/17,1660
Age Group,56-65,England,Professor,2017/18,5925
Age Group,56-65,England,Other senior academic,2017/18,1730
Age Group,56-65,England,Other contract level,2017/18,19500
Age Group,56-65,England,Total,2017/18,27155
Age Group,56-65,Northern Ireland,Professor,2017/18,110
Age Group,56-65,Northern Ireland,Other senior academic,2017/18,30
Age Group,56-65,Northern Ireland,Other contract level,2017/18,300
Age Group,56-65,Northern Ireland,Total,2017/18,435
Age Group,56-65,Scotland,Professor,2017/18,845
Age Group,56-65,Scotland,Other senior academic,2017/18,210
Age Group,56-65,Scotland,Other contract level,2017/18,2025
Age Group,56-65,Scotland,Total,2017/18,3080
Age Group,56-65,Wales,Professor,2017/18,365
Age Group,56-65,Wales,Other senior academic,2017/18,90
Age Group,56-65,Wales,Other contract level,2017/18,1200
Age Group,56-65,Wales,Total,2017/18,1655
Age Group,56-65,England,Professor,2018/19,6225
Age Group,56-65,England,Other senior academic,2018/19,1745
Age Group,56-65,England,Other contract level,2018/19,19855
Age Group,56-65,England,Total,2018/19,27820
Age Group,56-65,Northern Ireland,Professor,2018/19,105
Age Group,56-65,Northern Ireland,Other senior academic,2018/19,40
Age Group,56-65,Northern Ireland,Other contract level,2018/19,300
Age Group,56-65,Northern Ireland,Total,2018/19,445
Age Group,56-65,Scotland,Professor,2018/19,875
Age Group,56-65,Scotland,Other senior academic,2018/19,210
Age Group,56-65,Scotland,Other contract level,2018/19,2125
Age Group,56-65,Scotland,Total,2018/19,3215
Age Group,56-65,Wales,Professor,2018/19,335
Age Group,56-65,Wales,Other senior academic,2018/19,100
Age Group,56-65,Wales,Other contract level,2018/19,1230
Age Group,56-65,Wales,Total,2018/19,1670
Age Group,56-65,England,Professor,2019/20,6540
Age Group,56-65,England,Other senior academic,2019/20,1745
Age Group,56-65,England,Other contract level,2019/20,20615
Age Group,56-65,England,Total,2019/20,28900
Age Group,56-65,Northern Ireland,Professor,2019/20,125
Age Group,56-65,Northern Ireland,Other senior academic,2019/20,40
Age Group,56-65,Northern Ireland,Other contract level,2019/20,315
Age Group,56-65,Northern Ireland,Total,2019/20,475
Age Group,56-65,Scotland,Professor,2019/20,890
Age Group,56-65,Scotland,Other senior academic,2019/20,205
Age Group,56-65,Scotland,Other contract level,2019/20,2190
Age Group,56-65,Scotland,Total,2019/20,3280
Age Group,56-65,Wales,Professor,2019/20,370
Age Group,56-65,Wales,Other senior academic,2019/20,80
Age Group,56-65,Wales,Other contract level,2019/20,1240
Age Group,56-65,Wales,Total,2019/20,1690
Age Group,56-65,England,Professor,2020/21,6750
Age Group,56-65,England,Other senior academic,2020/21,1805
Age Group,56-65,England,Other contract level,2020/21,20780
Age Group,56-65,England,Total,2020/21,29335
Age Group,56-65,Northern Ireland,Professor,2020/21,135
Age Group,56-65,Northern Ireland,Other senior academic,2020/21,50
Age Group,56-65,Northern Ireland,Other contract level,2020/21,365
Age Group,56-65,Northern Ireland,Total,2020/21,545
Age Group,56-65,Scotland,Professor,2020/21,905
Age Group,56-65,Scotland,Other senior academic,2020/21,220
Age Group,56-65,Scotland,Other contract level,2020/21,2240
Age Group,56-65,Scotland,Total,2020/21,3365
Age Group,56-65,Wales,Professor,2020/21,385
Age Group,56-65,Wales,Other senior academic,2020/21,75
Age Group,56-65,Wales,Other contract level,2020/21,1225
Age Group,56-65,Wales,Total,2020/21,1685
Age Group,56-65,All,Professor,2016/17,7040
Age Group,56-65,All,Other senior academic,2016/17,1980
Age Group,56-65,All,Other contract level,2016/17,22495
Age Group,56-65,All,Total,2016/17,31515
Age Group,56-65,All,Professor,2017/18,7240
Age Group,56-65,All,Other senior academic,2017/18,2055
Age Group,56-65,All,Other contract level,2017/18,23025
Age Group,56-65,All,Total,2017/18,32325
Age Group,56-65,All,Professor,2018/19,7545
Age Group,56-65,All,Other senior academic,2018/19,2100
Age Group,56-65,All,Other contract level,2018/19,23505
Age Group,56-65,All,Total,2018/19,33150
Age Group,56-65,All,Professor,2019/20,7920
Age Group,56-65,All,Other senior academic,2019/20,2070
Age Group,56-65,All,Other contract level,2019/20,24360
Age Group,56-65,All,Total,2019/20,34350
Age Group,56-65,All,Professor,2020/21,8175
Age Group,56-65,All,Other senior academic,2020/21,2145
Age Group,56-65,All,Other contract level,2020/21,24605
Age Group,56-65,All,Total,2020/21,34930
Age Group,66 and over,England,Professor,2016/17,1760
Age Group,66 and over,England,Other senior academic,2016/17,165
Age Group,66 and over,England,Other contract level,2016/17,4300
Age Group,66 and over,England,Total,2016/17,6220
Age Group,66 and over,Northern Ireland,Professor,2016/17,20
Age Group,66 and over,Northern Ireland,Other senior academic,2016/17,0
Age Group,66 and over,Northern Ireland,Other contract level,2016/17,40
Age Group,66 and over,Northern Ireland,Total,2016/17,65
Age Group,66 and over,Scotland,Professor,2016/17,175
Age Group,66 and over,Scotland,Other senior academic,2016/17,15
Age Group,66 and over,Scotland,Other contract level,2016/17,250
Age Group,66 and over,Scotland,Total,2016/17,440
Age Group,66 and over,Wales,Professor,2016/17,115
Age Group,66 and over,Wales,Other senior academic,2016/17,10
Age Group,66 and over,Wales,Other contract level,2016/17,240
Age Group,66 and over,Wales,Total,2016/17,365
Age Group,66 and over,England,Professor,2017/18,1860
Age Group,66 and over,England,Other senior academic,2017/18,185
Age Group,66 and over,England,Other contract level,2017/18,4450
Age Group,66 and over,England,Total,2017/18,6495
Age Group,66 and over,Northern Ireland,Professor,2017/18,25
